artist_name,festival_day,event_date,stage,set_time,source_url,billing_tier,headliner_flag
The Criticals,Sunday,2025-08-03,Toyota Music Den,12:50pm - 1:30pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Lower,0
Vincent Lima,Sunday,2025-08-03,Toyota Music Den,1:50pm - 2:30pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Lower,0
Willow Avalon,Sunday,2025-08-03,Toyota Music Den,2:50pm - 3:30pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Lower,0
La Femme,Sunday,2025-08-03,Toyota Music Den,4pm - 4:45pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Lower,0
Joey Valence & Brae,Sunday,2025-08-03,Toyota Music Den,5:15pm - 6pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Lower,0
Maribou State,Sunday,2025-08-03,Toyota Music Den,6:30pm - 7:15pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Lower,0
Artemas,Sunday,2025-08-03,Toyota Music Den,7:45pm - 8:30pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Lower,0
Latin Mafia,Sunday,2025-08-03,Toyota Music Den,9pm - 10pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Lower,0
Landon Barker,Sunday,2025-08-03,Toyota Music Den,12:30pm - 1:15pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Lower,0
Post Animal,Sunday,2025-08-03,Toyota Music Den,2pm - 3pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Lower,0
Wave To Earth,Sunday,2025-08-03,Toyota Music Den,4pm - 5pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Lower,0
Ian,Sunday,2025-08-03,Toyota Music Den,6pm - 7pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Lower,0
Rebecca Black,Sunday,2025-08-03,Toyota Music Den,8pm - 8:45pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Lower,0
Flowerovlove,Sunday,2025-08-03,Toyota Music Den,1:15pm - 2pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Lower,0
Wild Rivers,Sunday,2025-08-03,Toyota Music Den,3pm - 4pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Lower,0
Remi Wolf,Sunday,2025-08-03,Toyota Music Den,5pm - 6pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Lower,0
The Marias,Sunday,2025-08-03,Toyota Music Den,7pm - 8pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Lower,0
A$Ap Rocky,Sunday,2025-08-03,Toyota Music Den,8:45pm - 10pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Lower,0
The Droptines,Sunday,2025-08-03,Toyota Music Den,2pm - 2:30pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Lower,0
Joe P,Sunday,2025-08-03,Toyota Music Den,3pm - 3:30pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Lower,0
The Criticals,Sunday,2025-08-03,Toyota Music Den,4pm - 4:30pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Lower,0
Vincent Lima,Sunday,2025-08-03,Toyota Music Den,5pm - 5:30pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Lower,0
Flowerovlove,Sunday,2025-08-03,Toyota Music Den,6pm - 6:30pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Lower,0
